name,city,brand,mall,floor,contactno,description,email,workinghoursfrom,workinghoursto,shopclosedon
Sunglass Hut,Mumbai,Sunglass Hut,R City Mall,1st,,,sh@sh.com,,,
Sunglass Hut,Delhi NCR,Sunglass Hut,Ansal Plaza,,,,sh@sh.com,,,
Sunglass Hut,Ahmedabad,Sunglass Hut,Alpha One Mall,,,,sh@sh.com,,,
Sunglass Hut,Kolkata,Sunglass Hut,Forum Mall,,,,sh@sh.com,,,
Sunglass Hut,Hyderabad,Sunglass Hut,Inorbit Mall,,,,sh@sh.com,,,
Sunglass Hut,Pune,Sunglass Hut,Inorbit Mall,,,,sh@sh.com,,,
Sunglass Hut,Chennai,Sunglass Hut,Ramee Mall,,,,sh@sh.com,,,
Sunglass Hut,Bangalore,Sunglass Hut,Inorbit Mall,,,,sh@sh.com,,,
Cygnus,Mumbai,Cygnus,R City Mall,1st,,,cygnus@cygnus.com,,,
Cygnus,Delhi NCR,Cygnus,Ansal Plaza,,,,cygnus@cygnus.com,,,
Cygnus,Ahmedabad,Cygnus,Alpha One Mall,,,,cygnus@cygnus.com,,,
Cygnus,Kolkata,Cygnus,Forum Mall,,,,cygnus@cygnus.com,,,
Cygnus,Hyderabad,Cygnus,Inorbit Mall,,,,cygnus@cygnus.com,,,
Cygnus,Pune,Cygnus,Inorbit Mall,,,,cygnus@cygnus.com,,,
Cygnus,Chennai,Cygnus,Ramee Mall,,,,cygnus@cygnus.com,,,
Cygnus,Bangalore,Cygnus,Inorbit Mall,,,,cygnus@cygnus.com,,,
Michael Kors,Mumbai,Michael Kors,R City Mall,1st,,,mk@mk.com,,,
Michael Kors,Delhi NCR,Michael Kors,Ansal Plaza,,,,mk@mk.com,,,
Michael Kors,Ahmedabad,Michael Kors,Alpha One Mall,,,,mk@mk.com,,,
Michael Kors,Kolkata,Michael Kors,Forum Mall,,,,mk@mk.com,,,
Michael Kors,Hyderabad,Michael Kors,Inorbit Mall,,,,mk@mk.com,,,
Michael Kors,Pune,Michael Kors,Inorbit Mall,,,,mk@mk.com,,,
Michael Kors,Chennai,Michael Kors,Ramee Mall,,,,mk@mk.com,,,
Michael Kors,Bangalore,Michael Kors,Inorbit Mall,,,,mk@mk.com,,,
Holii,Mumbai,Holii,R City Mall,,,,h@holii.com,,,
Holii,Delhi NCR,Holii,Ansal Plaza,,,,h@holii.com,,,
Holii,Ahmedabad,Holii,Alpha One Mall,,,,h@holii.com,,,
Holii,Kolkata,Holii,Forum Mall,,,,h@holii.com,,,
Holii,Hyderabad,Holii,Inorbit Mall,,,,h@holii.com,,,
Holii,Pune,Holii,Inorbit Mall,,,,h@holii.com,,,
Holii,Chennai,Holii,Ramee Mall,,,,h@holii.com,,,
Holii,Bangalore,Holii,Inorbit Mall,,,,h@holii.com,,,
Mothercare,Mumbai,Mothercare,R City Mall,,,,Mothercare@mothercare.com,,,
Mothercare,Delhi NCR,Mothercare,Ansal Plaza,,,,Mothercare@mothercare.com,,,
Mothercare,Ahmedabad,Mothercare,Alpha One Mall,,,,Mothercare@mothercare.com,,,
Mothercare,Kolkata,Mothercare,Forum Mall,,,,Mothercare@mothercare.com,,,
Mothercare,Hyderabad,Mothercare,Inorbit Mall,,,,Mothercare@mothercare.com,,,
Mothercare,Pune,Mothercare,Inorbit Mall,,,,Mothercare@mothercare.com,,,
Mothercare,Chennai,Mothercare,Ramee Mall,,,,Mothercare@mothercare.com,,,
Mothercare,Bangalore,Mothercare,Inorbit Mall,,,,Mothercare@mothercare.com,,,
Cinepolis,Mumbai,Cinepolis,R City Mall,,,,c@cinepolis.com,,,
Cinepolis,Delhi NCR,Cinepolis,Ansal Plaza,,,,c@cinepolis.com,,,
Cinepolis,Ahmedabad,Cinepolis,Alpha One Mall,,,,c@cinepolis.com,,,
Cinepolis,Kolkata,Cinepolis,Forum Mall,,,,c@cinepolis.com,,,
Cinepolis,Hyderabad,Cinepolis,Inorbit Mall,,,,c@cinepolis.com,,,
Cinepolis,Pune,Cinepolis,Inorbit Mall,,,,c@cinepolis.com,,,
Cinepolis,Chennai,Cinepolis,Ramee Mall,,,,c@cinepolis.com,,,
Cinepolis,Bangalore,Cinepolis,Inorbit Mall,,,,c@cinepolis.com,,,
Reebok ,Mumbai,Reebok,R City Mall,,,,Reebok@reebok.com,,,
Reebok ,Delhi NCR,Reebok,Ansal Plaza,,,,Reebok@reebok.com,,,
Reebok ,Ahmedabad,Reebok,Alpha One Mall,,,,Reebok@reebok.com,,,
Reebok ,Kolkata,Reebok,Forum Mall,,,,Reebok@reebok.com,,,
Reebok ,Hyderabad,Reebok,Inorbit Mall,,,,Reebok@reebok.com,,,
Reebok ,Pune,Reebok,Inorbit Mall,,,,Reebok@reebok.com,,,
Reebok ,Chennai,Reebok,Ramee Mall,,,,Reebok@reebok.com,,,
Reebok ,Bangalore,Reebok,Inorbit Mall,,,,Reebok@reebok.com,,,
Ruff,Mumbai,Ruff,R City Mall,,,,ruff@ruff.in,,,
Ruff,Delhi NCR,Ruff,Ansal Plaza,,,,ruff@ruff.in,,,
Ruff,Ahmedabad,Ruff,Alpha One Mall,,,,ruff@ruff.in,,,
Ruff,Kolkata,Ruff,Forum Mall,,,,ruff@ruff.in,,,
Ruff,Hyderabad,Ruff,Inorbit Mall,,,,ruff@ruff.in,,,
Ruff,Pune,Ruff,Inorbit Mall,,,,ruff@ruff.in,,,
Ruff,Chennai,Ruff,Ramee Mall,,,,ruff@ruff.in,,,
Ruff,Bangalore,Ruff,Inorbit Mall,,,,ruff@ruff.in,,,
Van Heusen,Mumbai,Van Heusen,R City Mall,,,,vh@vh.com,,,
Van Heusen,Delhi NCR,Van Heusen,Ansal Plaza,,,,vh@vh.com,,,
Van Heusen,Ahmedabad,Van Heusen,Alpha One Mall,,,,vh@vh.com,,,
Van Heusen,Kolkata,Van Heusen,Forum Mall,,,,vh@vh.com,,,
Van Heusen,Hyderabad,Van Heusen,Inorbit Mall,,,,vh@vh.com,,,
Van Heusen,Pune,Van Heusen,Inorbit Mall,,,,vh@vh.com,,,
Van Heusen,Chennai,Van Heusen,Ramee Mall,,,,vh@vh.com,,,
Van Heusen,Bangalore,Van Heusen,Inorbit Mall,,,,vh@vh.com,,,
